Date,Time,Location,ItemID,Transaction EmployeeID,Employee Name,Item,Price
1/17/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
4/6/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
1/30/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
4/10/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
3/28/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
4/20/18,6:00:00 AM,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
3/28/18,6:00:00 AM,State Street,1,106,Sheera Grayskull,Burger,2.79
2/18/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
2/19/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
3/7/18,6:00:00 AM,Union Heights,4,101,Lebron James,Shake,1.99
3/28/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
3/9/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
3/3/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
2/2/18,6:00:00 AM,Union Heights,4,101,Lebron James,Shake,1.99
1/9/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
4/18/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
2/23/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
1/22/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
2/2/18,6:00:00 AM,Union Heights,1,101,Lebron James,Burger,2.79
4/29/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
4/22/18,6:00:00 AM,Union Heights,4,110,Mrs. Fancy Pants,Shake,1.99
2/12/18,6:00:00 AM,State Street,1,107,Jeralyn Peterson,Burger,2.79
1/24/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
4/16/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
2/27/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
3/26/18,6:00:00 AM,Union Heights,4,101,Lebron James,Shake,1.99
1/17/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
4/13/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
1/1/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
2/10/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
2/6/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
4/27/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
1/13/18,6:00:00 AM,Union Heights,1,101,Lebron James,Burger,2.79
4/29/18,6:00:00 AM,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
2/14/18,6:00:00 AM,Union Heights,4,101,Lebron James,Shake,1.99
4/21/18,6:00:00 AM,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
1/20/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
4/30/18,6:00:00 AM,State Street,1,106,Sheera Grayskull,Burger,2.79
3/23/18,6:00:00 AM,Union Heights,1,101,Lebron James,Burger,2.79
3/9/18,6:00:00 AM,Union Heights,1,101,Lebron James,Burger,2.79
2/26/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
4/29/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
4/1/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
3/11/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
2/15/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
3/29/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
1/4/18,6:00:00 AM,Union Heights,3,101,Lebron James,Drink,0.99
1/16/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
3/16/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
4/1/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
1/16/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
1/22/18,6:00:00 AM,State Street,1,107,Jeralyn Peterson,Burger,2.79
3/12/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
4/29/18,6:00:00 AM,Union Heights,2,110,Mrs. Fancy Pants,Fry,0.99
1/16/18,6:00:00 AM,State Street,1,106,Sheera Grayskull,Burger,2.79
1/9/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
4/17/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
2/21/18,6:00:00 AM,State Street,1,106,Sheera Grayskull,Burger,2.79
4/2/18,6:00:00 AM,State Street,1,107,Jeralyn Peterson,Burger,2.79
3/29/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
1/15/18,6:00:00 AM,State Street,4,107,Jeralyn Peterson,Shake,1.99
2/19/18,6:00:00 AM,State Street,2,107,Jeralyn Peterson,Fry,0.99
4/5/18,6:00:00 AM,State Street,1,107,Jeralyn Peterson,Burger,2.79
3/29/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
4/18/18,6:00:00 AM,Union Heights,4,110,Mrs. Fancy Pants,Shake,1.99
1/14/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
1/18/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
3/25/18,6:00:00 AM,Union Heights,4,102,Alec Pizza,Shake,1.99
1/7/18,6:00:00 AM,State Street,1,107,Jeralyn Peterson,Burger,2.79
1/14/18,6:00:00 AM,State Street,4,107,Jeralyn Peterson,Shake,1.99
3/30/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
1/2/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
2/27/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
2/18/18,6:00:00 AM,State Street,2,107,Jeralyn Peterson,Fry,0.99
3/13/18,6:00:00 AM,Union Heights,2,101,Lebron James,Fry,0.99
4/9/18,6:00:00 AM,State Street,1,106,Sheera Grayskull,Burger,2.79
4/26/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
3/28/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
4/22/18,6:00:00 AM,Union Heights,1,102,Alec Pizza,Burger,2.79
4/24/18,6:00:00 AM,Union Heights,2,102,Alec Pizza,Fry,0.99
2/16/18,6:00:00 AM,State Street,2,106,Sheera Grayskull,Fry,0.99
2/14/18,6:00:00 AM,State Street,4,106,Sheera Grayskull,Shake,1.99
